measurement_date,upstream_water_level,downstream_water_level,inflow_rate,outflow_rate
2011 Apr 17,159.94,64.82,6500,7490
2011 Apr 18,159.62,65.20,6100,8070
2011 Apr 19,159.30,64.85,5800,8100
2011 Apr 20,158.94,64.58,5800,8080
2011 Apr 21,158.70,65.14,6600,8140
2011 Apr 22,158.48,65.00,6600,7040
2011 Apr 23,158.40,65.12,6400,8220
2011 Apr 24,158.16,65.12,5900,7100
2011 Apr 25,157.93,64.54,5900,7640
2011 Apr 26,157.66,64.26,6300,7630
2011 Apr 27,157.26,64.67,5600,7720
2011 Apr 28,157.03,65.66,5600,7210
2011 Apr 29,156.99,65.74,5600,6130
2011 Apr 30,158.40,65.12,6400,8220
2011 May 01,156.43,65.25,5800,6020
2011 May 02,156.44,65.52,6000,6070
2011 May 03,156.31,65.09,6000,6000
2011 May 04,156.09,65.30,6300,8090
2011 May 05,155.58,65.46,5700,9090
2011 May 06,155.48,65.16,5400,6210
2011 May 07,155.26,65.10,5300,7010
2011 May 08,155.21,64.80,5400,6500
2011 May 09,154.82,65.22,6400,7660
2011 May 10,154.84,65.00,9000,7180
2011 May 11,154.82,64.86,9000,6730
2011 May 12,155.08,65.31,9000,7020
2011 May 13,155.29,65.26,8000,6950
2011 May 14,155.41,65.11,7500,7040
2011 May 15,155.34,64.48,7350,6150
2011 May 16,155.13,65.24,6900,8240
2011 May 17,154.85,64.54,7000,9190
2011 May 18,154.37,65.50,6600,9700
2011 May 19,154.35,65.46,6600,8700
2011 May 20,153.56,64.28,7000,9680
2011 May 21,153.24,65.26,8500,9800
2011 May 22,153.17,65.18,9000,9820
2011 May 23,153.03,65.18,9000,9840
2011 May 24,152.98,65.20,9000,8830
2011 May 25,152.52,65.04,9200,11400
2011 May 26,152.44,64.18,9300,10100
2011 May 27,151.53,64.69,8000,12600
2011 May 28,151.49,64.68,8000,11500
2011 May 29,150.52,65.17,7800,11100
2011 May 30,150.37,64.82,8800,10100
2011 May 31,149.60,65.28,10600,13900
2011 Jun 01,149.16,65.82,9300,12500
2011 Jun 02,148.62,65.76,9500,12600
2011 Jun 03,148.22,65.90,10300,12700
2011 Jun 04,147.86,65.43,9300,11100
2011 Jun 05,147.52,65.16,9500,11600
2011 Jun 06,147.10,65.52,9300,12500
2011 Jun 07,146.84,65.08,10600,11800
2011 Jun 08,146.44,64.86,10500,12700
2011 Jun 09,146.44,64.64,10500,11200
2011 Jun 10,145.81,65.38,10500,11900
2011 Jun 11,145.76,64.14,9300,9810
2011 Jun 12,145.49,64.78,9600,9930
2011 Jun 13,145.54,65.27,11200,10600
